Area,Name,Votes
9. Syd,Emil Sloth Andersen,16
9. Syd,Kim Mandix,1
9. Syd,Hanne Kofoed,4
9. Syd,Martin Schepelern,8
9. Øst,Navn,Personlige stemmer
9. Øst,Mia Nyegaard,70
9. Øst,Christopher Røhl,38
9. Øst,Mette Annelie Rasmussen,49
9. Øst,Jes Vissing Tiedemann,17
9. Øst,Katrine Kildgaard,57
9. Øst,Sally Khallash,11
9. Øst,Jino Victoria Doabi,18
9. Øst,Dan Kreutzfeldt,7
9. Øst,Lartey Lawson,18
9. Øst,Emil Moselund,53
9. Øst,Kashif Ahmad,13
9. Øst,Emil Sloth Andersen,21
9. Øst,Kim Mandix,4
9. Øst,Hanne Kofoed,8
9. Øst,Martin Schepelern,11
9. Vest,Navn,Personlige stemmer
9. Vest,Mia Nyegaard,86
9. Vest,Christopher Røhl,41
9. Vest,Mette Annelie Rasmussen,77
9. Vest,Jes Vissing Tiedemann,28
9. Vest,Katrine Kildgaard,55
9. Vest,Sally Khallash,23
9. Vest,Jino Victoria Doabi,16
9. Vest,Dan Kreutzfeldt,2
9. Vest,Lartey Lawson,17
9. Vest,Emil Moselund,38
9. Vest,Kashif Ahmad,25
9. Vest,Emil Sloth Andersen,30
9. Vest,Kim Mandix,4
9. Vest,Hanne Kofoed,6
9. Vest,Martin Schepelern,14
9. Midt,Navn,Personlige stemmer
9. Midt,Mia Nyegaard,16
9. Midt,Christopher Røhl,14
9. Midt,Mette Annelie Rasmussen,17
9. Midt,Jes Vissing Tiedemann,8
9. Midt,Katrine Kildgaard,22
9. Midt,Sally Khallash,3
9. Midt,Jino Victoria Doabi,6
9. Midt,Dan Kreutzfeldt,2
9. Midt,Lartey Lawson,9
9. Midt,Emil Moselund,21
9. Midt,Kashif Ahmad,10
9. Midt,Emil Sloth Andersen,17
9. Midt,Kim Mandix,4
9. Midt,Hanne Kofoed,3
9. Midt,Martin Schepelern,3
9. Sydhavn,Navn,Personlige stemmer
9. Sydhavn,Mia Nyegaard,136
9. Sydhavn,Christopher Røhl,69
9. Sydhavn,Mette Annelie Rasmussen,95
9. Sydhavn,Jes Vissing Tiedemann,31
9. Sydhavn,Katrine Kildgaard,90
9. Sydhavn,Sally Khallash,30
9. Sydhavn,Jino Victoria Doabi,31
9. Sydhavn,Dan Kreutzfeldt,6
9. Sydhavn,Lartey Lawson,29
9. Sydhavn,Emil Moselund,180
9. Sydhavn,Kashif Ahmad,24
9. Sydhavn,Emil Sloth Andersen,67
9. Sydhavn,Kim Mandix,11
9. Sydhavn,Hanne Kofoed,11
9. Sydhavn,Martin Schepelern,23
1. Øst,Navn,Personlige stemmer
1. Øst,Mia Nyegaard,79
1. Øst,Christopher Røhl,30
1. Øst,Mette Annelie Rasmussen,107
1. Øst,Jes Vissing Tiedemann,11
1. Øst,Katrine Kildgaard,44
1. Øst,Sally Khallash,11
1. Øst,Jino Victoria Doabi,15
1. Øst,Dan Kreutzfeldt,6
1. Øst,Lartey Lawson,29
1. Øst,Emil Moselund,75
1. Øst,Kashif Ahmad,11
1. Øst,Emil Sloth Andersen,36
1. Øst,Kim Mandix,6
1. Øst,Hanne Kofoed,0
1. Øst,Martin Schepelern,10
2. Øst,Navn,Personlige stemmer
2. Øst,Mia Nyegaard,54
2. Øst,Christopher Røhl,37
2. Øst,Mette Annelie Rasmussen,30
2. Øst,Jes Vissing Tiedemann,8
2. Øst,Katrine Kildgaard,86
2. Øst,Sally Khallash,12
2. Øst,Jino Victoria Doabi,15
2. Øst,Dan Kreutzfeldt,7
2. Øst,Lartey Lawson,19
2. Øst,Emil Moselund,61
2. Øst,Kashif Ahmad,30
2. Øst,Emil Sloth Andersen,36
2. Øst,Kim Mandix,4
2. Øst,Hanne Kofoed,5
2. Øst,Martin Schepelern,16
5. Nørrebrohallen,Navn,Personlige stemmer
5. Nørrebrohallen,Mia Nyegaard,66
5. Nørrebrohallen,Christopher Røhl,65
5. Nørrebrohallen,Mette Annelie Rasmussen,41
5. Nørrebrohallen,Jes Vissing Tiedemann,18
5. Nørrebrohallen,Katrine Kildgaard,92
5. Nørrebrohallen,Sally Khallash,19
5. Nørrebrohallen,Jino Victoria Doabi,31
5. Nørrebrohallen,Dan Kreutzfeldt,8
5. Nørrebrohallen,Lartey Lawson,37
5. Nørrebrohallen,Emil Moselund,88
5. Nørrebrohallen,Kashif Ahmad,51
5. Nørrebrohallen,Emil Sloth Andersen,49
5. Nørrebrohallen,Kim Mandix,3
5. Nørrebrohallen,Hanne Kofoed,4
5. Nørrebrohallen,Martin Schepelern,19
6. Vest,Navn,Personlige stemmer
6. Vest,Mia Nyegaard,19
6. Vest,Christopher Røhl,18
6. Vest,Mette Annelie Rasmussen,17
6. Vest,Jes Vissing Tiedemann,3
6. Vest,Katrine Kildgaard,28
6. Vest,Sally Khallash,5
6. Vest,Jino Victoria Doabi,14
6. Vest,Dan Kreutzfeldt,34
6. Vest,Lartey Lawson,11
6. Vest,Emil Moselund,17
6. Vest,Kashif Ahmad,36
6. Vest,Emil Sloth Andersen,23
6. Vest,Kim Mandix,0
6. Vest,Hanne Kofoed,1
6. Vest,Martin Schepelern,6
